01001001 ΕΝ ΕΝ ΕΝ
01001001 ΑΡΧΗ ΑΡΧΗ ΑΡΧΗ
01001001 ἐποίησεν ἐποίησεν ἐποίησεν
01001001 ὁ ὁ ὁ
01001001 θεὸς θεὸς θεός
01001001 τὸν τὸν τόν
01001001 οὐρανὸν οὐρανὸν οὐρανόν
01001001 καὶ καὶ καί
01001001 τὴν τὴν τήν
01001001 γῆν. γῆν γῆν
01001002 ἡ ἡ ἡ
01001002 δὲ δὲ δέ
01001002 γῆ γῆ γῆ
01001002 ἦν ἦν ἦν
01001002 ἀόρατος ἀόρατος ἀόρατος
01001002 καὶ καὶ καί
01001002 ἀκατασκεύαστος, ἀκατασκεύαστος ἀκατασκεύαστος
01001002 καὶ καὶ καί
01001002 σκότος σκότος σκότος
01001002 ἐπάνω ἐπάνω ἐπάνω
01001002 τῆς τῆς τῆς
01001002 ἀβύσσου· ἀβύσσου ἀβύσσου
01001002 καὶ καὶ καί
01001002 πνεῦμα πνεῦμα πνεῦμα
01001002 θεοῦ θεοῦ θεοῦ
01001002 ἐπεφέρετο ἐπεφέρετο ἐπεφέρετο
01001002 ἐπάνω ἐπάνω ἐπάνω
01001002 τοῦ τοῦ τοῦ
01001002 ὕδατος. ὕδατος ὕδατος
01001003 καὶ καὶ καί
01001003 εἶπεν εἶπεν εἶπεν
01001003 ὁ ὁ ὁ
01001003 θεός θεός θεός
01001003 Γενηθήτω Γενηθήτω Γενηθήτω
01001003 φῶς· φῶς φῶς
01001003 καὶ καὶ καί
01001003 ἐγένετο ἐγένετο ἐγένετο
01001003 φῶς. φῶς φῶς
01001004 καὶ καὶ καί
01001004 ἴδεν ἴδεν ἴδεν
01001004 ὁ ὁ ὁ
01001004 θεὸς θεὸς θεός
01001004 τὸ τὸ τό
01001004 φῶς φῶς φῶς
01001004 ὅτι ὅτι ὅτι
01001004 καλόν· καλόν καλόν
01001004 καὶ καὶ καί
01001004 διεχώρισεν διεχώρισεν διεχώρισεν
01001004 ὁ ὁ ὁ
01001004 θεὸς θεὸς θεός
01001004 ἀνὰ ἀνὰ ἀνά
01001004 μέσον μέσον μέσον
01001004 τοῦ τοῦ τοῦ
01001004 φωτὸς φωτὸς φωτός
01001004 καὶ καὶ καί
01001004 ἀνὰ ἀνὰ ἀνά
01001004 μέσον μέσον μέσον
01001004 τοῦ τοῦ τοῦ
01001004 σκότους. σκότους σκότους
01001005 καὶ καὶ καί
01001005 ἐκάλεσεν ἐκάλεσεν ἐκάλεσεν
01001005 ὁ ὁ ὁ
01001005 θεὸς θεὸς θεός
01001005 τὸ τὸ τό
01001005 φῶς φῶς φῶς
01001005 ἡμέραν, ἡμέραν ἡμέραν
01001005 καὶ καὶ καί
01001005 τὸ τὸ τό
01001005 σκότος σκότος σκότος
01001005 ἐκάλεσεν ἐκάλεσεν ἐκάλεσεν
01001005 νύκτα. νύκτα νύκτα
01001005 καὶ καὶ καί
01001005 ἐγένετο ἐγένετο ἐγένετο
01001005 ἑσπέρα ἑσπέρα ἑσπέρα
01001005 καὶ καὶ καί
01001005 ἐγένετο ἐγένετο ἐγένετο
01001005 πρωί, πρωί πρωί
01001005 ἡμέρα ἡμέρα ἡμέρα
01001005 μία. μία μία
01001006 Καὶ Καὶ Καί
01001006 εἶπεν εἶπεν εἶπεν
01001006 ὁ ὁ ὁ
01001006 θεός θεός θεός
01001006 Γενηθήτω Γενηθήτω Γενηθήτω
01001006 στερέωμα στερέωμα στερέωμα
01001006 ἐν ἐν ἐν
01001006 μέσῳ μέσῳ μέσῳ
01001006 τοῦ τοῦ τοῦ
01001006 ὕδατος, ὕδατος ὕδατος
01001006 καὶ καὶ καί
01001006 ἔστω ἔστω ἔστω
01001006 διαχωρίζον διαχωρίζον διαχωρίζον
01001006 ἀνὰ ἀνὰ ἀνά
01001006 μέσον μέσον μέσον
01001006 ὕδατος ὕδατος ὕδατος
01001006 καὶ καὶ καί
01001006 ὕδατος· ὕδατος ὕδατος
01001006 καὶ καὶ καί
01001006 ἐγένετο ἐγένετο ἐγένετο
01001006 οὕτως. οὕτως οὕτως
01001007 καὶ καὶ καί
01001007 ἐποίησεν ἐποίησεν ἐποίησεν
01001007 ὁ ὁ ὁ
01001007 θεὸς θεὸς θεός
01001007 τὸ τὸ τό
01001007 στερέωμα· στερέωμα στερέωμα
01001007 καὶ καὶ καί
01001007 διεχώρισεν διεχώρισεν διεχώρισεν
01001007 ὁ ὁ ὁ
01001007 θεὸς θεὸς θεός
01001007 ἀνὰ ἀνὰ ἀνά
01001007 μέσον μέσον μέσον
01001007 τοῦ τοῦ τοῦ
01001007 ὕδατος ὕδατος ὕδατος
01001007 ὃ ὃ ὁ/ὅ@
01001007 ἦν ἦν ἦν
01001007 ὑποκάτω ὑποκάτω ὑποκάτω
01001007 τοῦ τοῦ τοῦ
01001007 στερεώματος, στερεώματος στερεώματος
01001007 καὶ καὶ καί
01001007 ἀνὰ ἀνὰ ἀνά
01001007 μέσον μέσον μέσον
01001007 τοῦ τοῦ τοῦ
01001007 ὕδατος ὕδατος ὕδατος
01001007 τοῦ τοῦ τοῦ
01001007 ἐπάνω ἐπάνω ἐπάνω
01001007 τοῦ τοῦ τοῦ
01001007 στερεώματος. στερεώματος στερεώματος
01001008 καὶ καὶ καί
01001008 ἐκάλεσεν ἐκάλεσεν ἐκάλεσεν
01001008 ὁ ὁ ὁ
01001008 θεὸς θεὸς θεός
01001008 τὸ τὸ τό
01001008 στερέωμα στερέωμα στερέωμα
01001008 οὐρανόν· οὐρανόν οὐρανόν
01001008 καὶ καὶ καί
01001008 ἴδεν ἴδεν ἴδεν
01001008 ὁ ὁ ὁ
01001008 θεὸς θεὸς θεός
01001008 ὅτι ὅτι ὅτι
01001008 καλόν. καλόν καλόν
01001008 καὶ καὶ καί
01001008 ἐγένετο ἐγένετο ἐγένετο
01001008 ἑσπέρα ἑσπέρα ἑσπέρα
01001008 καὶ καὶ καί
01001008 ἐγένετο ἐγένετο ἐγένετο
01001008 πρωί, πρωί πρωί
01001008 ἡμέρα ἡμέρα ἡμέρα
01001008 δευτέρα. δευτέρα δευτέρα
01001009 Καὶ Καὶ Καί
01001009 εἶπεν εἶπεν εἶπεν
01001009 ὁ ὁ ὁ
01001009 θεός θεός θεός
01001009 Συναχθήτω Συναχθήτω Συναχθήτω
01001009 τὸ τὸ τό
01001009 ὕδωρ ὕδωρ ὕδωρ
01001009 τὸ τὸ τό
01001009 ὑποκάτω ὑποκάτω ὑποκάτω
01001009 τοῦ τοῦ τοῦ
01001009 οὐρανοῦ οὐρανοῦ οὐρανοῦ
01001009 εἰς εἰς εἰς
01001009 συναγωγὴν συναγωγὴν συναγωγήν
01001009 μίαν, μίαν μίαν
01001009 καὶ καὶ καί
01001009 ὀφθήτω ὀφθήτω ὀφθήτω
01001009 ἡ ἡ ἡ
01001009 ξηρά· ξηρά ξηρά
01001009 καὶ καὶ καί
01001009 ἐγένετο ἐγένετο ἐγένετο
01001009 οὕτως. οὕτως οὕτως
01001009 καὶ καὶ καί
01001009 συνήχθη συνήχθη συνήχθη
01001009 τὸ τὸ τό
01001009 ὕδωρ ὕδωρ ὕδωρ
01001009 τὸ τὸ τό
01001009 ὑποκάτω ὑποκάτω ὑποκάτω
01001009 τοῦ τοῦ τοῦ
01001009 οὐρανοῦ οὐρανοῦ οὐρανοῦ
01001009 εἰς εἰς εἰς
01001009 τὰς τὰς τάς
01001009 συναγωγὰς συναγωγὰς συναγωγάς
01001009 αὐτῶν, αὐτῶν αὐτῶν
01001009 καὶ καὶ καί
01001009 ὤφθη ὤφθη ὤφθη
01001009 ἡ ἡ ἡ
01001009 ξηρά. ξηρά ξηρά
01001010 καὶ καὶ καί
01001010 ἐκάλεσεν ἐκάλεσεν ἐκάλεσεν
01001010 ὁ ὁ ὁ
01001010 θεὸς θεὸς θεός
01001010 τὴν τὴν τήν
01001010 ξηρὰν ξηρὰν ξηράν
01001010 γῆν, γῆν γῆν
01001010 καὶ καὶ καί
01001010 τὰ τὰ τά
01001010 συστέματα συστέματα συστέματα
01001010 τῶν τῶν τῶν
01001010 ὑδάτων ὑδάτων ὑδάτων
01001010 ἐκάλεσεν ἐκάλεσεν ἐκάλεσεν
01001010 θαλάσσας· θαλάσσας θαλάσσας
01001010 καὶ καὶ καί
01001010 ἴδεν ἴδεν ἴδεν
01001010 ὁ ὁ ὁ
01001010 θεὸς θεὸς θεός
01001010 ὅτι ὅτι ὅτι
01001010 καλόν. καλόν καλόν
01001011 καὶ καὶ καί
01001011 εἶπεν εἶπεν εἶπεν
01001011 ὁ ὁ ὁ
01001011 θεός θεός θεός
01001011 Βλαστησάτω Βλαστησάτω Βλαστησάτω
01001011 ἡ ἡ ἡ
01001011 γῆ γῆ γῆ
01001011 βοτάνην βοτάνην βοτάνην
01001011 χόρτου, χόρτου χόρτου
01001011 σπεῖρον σπεῖρον σπεῖρον
01001011 σπέρμα σπέρμα σπέρμα
01001011 κατὰ κατὰ κατά
01001011 γένος γένος γένος
01001011 καὶ καὶ καί
01001011 καθ’ καθ’ κατά
01001011 ὁμοιότητα, ὁμοιότητα ὁμοιότητα
01001011 καὶ καὶ καί
01001011 ξύλον ξύλον ξύλον
01001011 κάρπιμον κάρπιμον κάρπιμον
01001011 ποιοῦν ποιοῦν ποιοῦν
01001011 καρπόν, καρπόν καρπόν
01001011 οὗ οὗ οὗ
01001011 τὸ τὸ τό
01001011 σπέρμα σπέρμα σπέρμα
01001011 αὐτοῦ αὐτοῦ αὐτοῦ
01001011 ἐν ἐν ἐν
01001011 αὐτῷ αὐτῷ αὐτῷ
01001011 κατὰ κατὰ κατά
01001011 γένος γένος γένος
01001011 εἰς εἰς εἰς
01001011 ὁμοιότητα ὁμοιότητα ὁμοιότητα
01001011 ἐπὶ ἐπὶ ἐπί
01001011 τῆς τῆς τῆς
01001011 γῆς· γῆς γῆς
01001011 καὶ καὶ καί
01001011 ἐγένετο ἐγένετο ἐγένετο
01001011 οὕτως. οὕτως οὕτως
01001012 καὶ καὶ καί
01001012 ἐξήνεγκεν ἐξήνεγκεν ἐξήνεγκεν
01001012 ἡ ἡ ἡ
01001012 γῆ γῆ γῆ
01001012 βοτάνην βοτάνην βοτάνην
01001012 χόρτου, χόρτου χόρτου
01001012 σπεῖρον σπεῖρον σπεῖρον
01001012 σπέρμα σπέρμα σπέρμα
01001012 κατὰ κατὰ κατά
01001012 γένος γένος γένος
01001012 καὶ καὶ καί
01001012 καθ’ καθ’ κατά
01001012 ὁμοιότητα, ὁμοιότητα ὁμοιότητα
01001012 καὶ καὶ καί
01001012 ξύλον ξύλον ξύλον
01001012 κάρπιμον κάρπιμον κάρπιμον
01001012 ποιοῦν ποιοῦν ποιοῦν
01001012 καρπόν, καρπόν καρπόν
01001012 οὗ οὗ οὗ
01001012 τὸ τὸ τό
01001012 σπέρμα σπέρμα σπέρμα
01001012 αὐτοῦ αὐτοῦ αὐτοῦ
01001012 ἐν ἐν ἐν
01001012 αὐτῷ αὐτῷ αὐτῷ
01001012 κατὰ κατὰ κατά
01001012 γένος γένος γένος
01001012 ἐπὶ ἐπὶ ἐπί
01001012 τῆς τῆς τῆς
01001012 γῆς. γῆς γῆς
01001012 καὶ καὶ καί
01001012 ἴδεν ἴδεν ἴδεν
01001012 ὁ ὁ ὁ
01001012 θεὸς θεὸς θεός
01001012 ὅτι ὅτι ὅτι
01001012 καλόν. καλόν καλόν
01001013 καὶ καὶ καί
01001013 ἐγένετο ἐγένετο ἐγένετο
01001013 ⸂⸆⸃ ⸂⸆⸃ ⸂⸆⸃
01001013 ἑσπέρα ἑσπέρα ἑσπέρα
01001013 καὶ καὶ καί
01001013 ἐγένετο ἐγένετο ἐγένετο
01001013 πρωί, πρωί πρωί
01001013 ἡμέρα ἡμέρα ἡμέρα
01001013 τρίτη. τρίτη τρίτη
01001014 Καὶ Καὶ Καί
01001014 εἶπεν εἶπεν εἶπεν
01001014 ὁ ὁ ὁ
01001014 θεός θεός θεός
01001014 Γενηθήτωσαν Γενηθήτωσαν Γενηθήτωσαν
01001014 φωστῆρες φωστῆρες φωστῆρες
01001014 ἐν ἐν ἐν
01001014 τῷ τῷ τῷ
01001014 στερεώματι στερεώματι στερεώματι
01001014 τοῦ τοῦ τοῦ
01001014 οὐρανοῦ οὐρανοῦ οὐρανοῦ
01001014 εἰς εἰς εἰς
01001014 φαῦσιν φαῦσιν φαῦσιν
01001014 τῆς τῆς τῆς
01001014 γῆς, γῆς γῆς
01001014 καὶ καὶ καί
01001014 ἄρχειν ἄρχειν ἄρχειν
01001014 τῆς τῆς τῆς
01001014 ἡμέρας ἡμέρας ἡμέρας
01001014 καὶ καὶ καί
01001014 τῆς τῆς τῆς
01001014 νυκτὸς νυκτὸς νυκτός
01001014 καὶ καὶ καί
01001014 διαχωρίζειν διαχωρίζειν διαχωρίζειν
01001014 ⸆ ⸆ ⸆
01001014 ἀνὰ ἀνὰ ἀνά
01001014 μέσον μέσον μέσον
01001014 τῆς τῆς τῆς
01001014 ἡμέρας ἡμέρας ἡμέρας
01001014 καὶ καὶ καί
01001014 ἀνὰ ἀνὰ ἀνά
01001014 μέσον μέσον μέσον
01001014 τῆς τῆς τῆς
01001014 νυκτός· νυκτός νυκτός
01001014 καὶ καὶ καί
01001014 ἔστωσαν ἔστωσαν ἔστωσαν
01001014 εἰς εἰς εἰς
01001014 σημεῖα σημεῖα σημεῖα
01001014 καὶ καὶ καί
01001014 εἰς εἰς εἰς
01001014 καιροὺς καιροὺς καιρούς
01001014 καὶ καὶ καί
01001014 εἰς εἰς εἰς
01001014 ἡμέρας ἡμέρας ἡμέρας
01001014 καὶ καὶ καί
01001014 εἰς εἰς εἰς
01001014 ἐνιαυτούς· ἐνιαυτούς ἐνιαυτούς
01001015 καὶ καὶ καί
01001015 ἔστωσαν ἔστωσαν ἔστωσαν
01001015 εἰς εἰς εἰς
01001015 φαῦσιν φαῦσιν φαῦσιν
01001015 ἐν ἐν ἐν
01001015 τῷ τῷ τῷ
01001015 στερεώματι στερεώματι στερεώματι
01001015 τοῦ τοῦ τοῦ
01001015 οὐρανοῦ, οὐρανοῦ οὐρανοῦ
01001015 ὥστε ὥστε ὥστε
01001015 φαίνειν φαίνειν φαίνειν
01001015 ἐπὶ ἐπὶ ἐπί
01001015 τῆς τῆς τῆς
01001015 γῆς. γῆς γῆς
01001015 καὶ καὶ καί
01001015 ἐγένετο ἐγένετο ἐγένετο
01001015 οὕτως. οὕτως οὕτως
01001016 καὶ καὶ καί
01001016 ἐποίησεν ἐποίησεν ἐποίησεν
01001016 ὁ ὁ ὁ
01001016 θεὸς θεὸς θεός
01001016 τοὺς τοὺς τούς
01001016 δύο δύο δύο
01001016 φωστῆρας φωστῆρας φωστῆρας
01001016 τοὺς τοὺς τούς
01001016 μεγάλους, μεγάλους μεγάλους
01001016 τὸν τὸν τόν
01001016 φωστῆρα φωστῆρα φωστῆρα
01001016 τὸν τὸν τόν
01001016 μέγαν μέγαν μέγαν
01001016 εἰς εἰς εἰς
01001016 ἀρχὰς ἀρχὰς ἀρχάς
01001016 τῆς τῆς τῆς
01001016 ἡμέρας ἡμέρας ἡμέρας
01001016 καὶ καὶ καί
01001016 τὸν τὸν τόν
01001016 φωστῆρα φωστῆρα φωστῆρα
01001016 τὸν τὸν τόν
01001016 ἐλάσσω ἐλάσσω ἐλάσσω
01001016 εἰς εἰς εἰς
01001016 ἀρχὰς ἀρχὰς ἀρχάς
01001016 τῆς τῆς τῆς
01001016 νυκτός, νυκτός νυκτός
01001016 καὶ καὶ καί
01001016 τοὺς τοὺς τούς
01001016 ἀστέρας. ἀστέρας ἀστέρας
01001017 καὶ καὶ καί
01001017 ἔθετο ἔθετο ἔθετο
01001017 αὐτοὺς αὐτοὺς αὐτούς
01001017 ὁ ὁ ὁ
01001017 θεὸς θεὸς θεός
01001017 ἐν ἐν ἐν
01001017 τῷ τῷ τῷ
01001017 στερεώματι στερεώματι στερεώματι
01001017 τοῦ τοῦ τοῦ
01001017 οὐρανοῦ, οὐρανοῦ οὐρανοῦ
01001017 ὥστε ὥστε ὥστε
01001017 φαίνειν φαίνειν φαίνειν
01001017 ἐπὶ ἐπὶ ἐπί
01001017 τῆς τῆς τῆς
01001017 γῆς, γῆς γῆς
01001018 καὶ καὶ καί
01001018 ἄρχειν ἄρχειν ἄρχειν
01001018 τῆς τῆς τῆς
01001018 ἡμέρας ἡμέρας ἡμέρας
01001018 καὶ καὶ καί
01001018 τῆς τῆς τῆς
01001018 νυκτός, νυκτός νυκτός
01001018 καὶ καὶ καί
01001018 διαχωρίζειν διαχωρίζειν διαχωρίζειν
01001018 ἀνὰ ἀνὰ ἀνά
01001018 μέσον μέσον μέσον
01001018 τοῦ τοῦ τοῦ
01001018 φωτὸς φωτὸς φωτός
